&lIsland Panel	&lBảng Điều Khiển Đảo
&7Click to start your adventure as a Farmer.	&7Nhấp để bắt đầu cuộc phiêu lưu với tư cách Nông Dân.
&7Click to start your adventure as a Fisherman.	&7Nhấp để bắt đầu cuộc phiêu lưu với tư cách Ngư Dân.
&7Click to start your adventure as a Miner.	&7Nhấp để bắt đầu cuộc phiêu lưu với tư cách Thợ Mỏ.
&7Click to start your adventure as a Slayer.	&7Nhấp để bắt đầu cuộc phiêu lưu với tư cách Sát Thủy.
&7Click to start your adventure as an Explorer.	&7Nhấp để bắt đầu cuộc phiêu lưu với tư cách Nhà Thám Hiểm.
&6&l* &e&lQuantity &fx{1}	&6&l* &e&lSố Lượng &fx{1}
&6Island Warps	&6Điểm Dịch Chuyển Đảo
&lIsland Warps	&lĐiểm Dịch Chuyển Đảo
&lWarp Categories	&lDanh Mục Điểm Dịch Chuyển
&lWarp: {0}	&lĐiểm Dịch Chuyển: {0}
&lCategory: {0}	&lDanh Mục: {0}
&6Private Warp	&6Điểm Dịch Chuyển Riêng Tư
&6Rename Category	&6Đổi Tên Danh Mục
&6Rename Warp	&6Đổi Tên Điểm Dịch Chuyển
&6Set Lore	&6Đặt Mô Tả
&6Set Name	&6Đặt Tên
&6Set Type	&6Đặt Loại
&6Warp Location	&6Vị Trí Điểm Dịch Chuyển
&6Confirm Changes	&6Xác Nhận Thay Đổi
&7Click to see all warps of this island.	&7Nhấp để xem tất cả điểm dịch chuyển của đảo này.
&7&o(( &f&oClick &7&oto toggle warp to the public. ))	&7&o(( &f&oNhấp &7&ođể chuyển điểm dịch chuyển sang công khai. ))
&7&o(( &f&oClick &7&oto update the warp location. ))	&7&o(( &f&oNhấp &7&ođể cập nhật vị trí điểm dịch chuyển. ))
&7&o(( &f&oClick &7&oto edit the category warps. ))	&7&o(( &f&oNhấp &7&ođể chỉnh sửa điểm dịch chuyển của danh mục. ))
&7&o(( &f&oClick &7&oto edit the icon. ))	&7&o(( &f&oNhấp &7&ođể chỉnh sửa biểu tượng. ))
&7&o(( &f&oClick &7&oto edit the item lore. ))	&7&o(( &f&oNhấp &7&ođể chỉnh sửa mô tả vật phẩm. ))
&7&o(( &f&oClick &7&oto edit the item name. ))	&7&o(( &f&oNhấp &7&ođể chỉnh sửa tên vật phẩm. ))
&7&o(( &f&oClick &7&oto edit the item type. ))	&7&o(( &f&oNhấp &7&ođể chỉnh sửa loại vật phẩm. ))
&7&o(( &f&oClick &7&oto rename the category. ))	&7&o(( &f&oNhấp &7&ođể đổi tên danh mục. ))
&7&o(( &f&oClick &7&oto rename the warp. ))	&7&o(( &f&oNhấp &7&ođể đổi tên điểm dịch chuyển. ))
&7&o(( &f&oClick &7&oto confirm all changes. ))	&7&o(( &f&oNhấp &7&ođể xác nhận tất cả thay đổi. ))
&7&o(( &f&oLeft-Click &7&oto see island warps. ))	&7&o(( &f&oChuột Trái &7&ođể xem điểm dịch chuyển đảo. ))
&7&o(( &f&oLeft-Click &7&oto view their items. ))	&7&o(( &f&oChuột Trái &7&ođể xem vật phẩm của họ. ))
&7&o(( &f&oLeft-Click &7&oto warp to the location. ))	&7&o(( &f&oChuột Trái &7&ođể dịch chuyển đến vị trí. ))
&7&o(( &f&oLeft-Click &7&oto edit the category''s slot. ))	&7&o(( &f&oChuột Trái &7&ođể chỉnh sửa ô của danh mục. ))
&7&o(( &f&oRight-Click &7&oto edit the category. ))	&7&o(( &f&oChuột Phải &7&ođể chỉnh sửa danh mục. ))
&7&o(( &f&oRight-Click &7&oto edit the icon. ))	&7&o(( &f&oChuột Phải &7&ođể chỉnh sửa biểu tượng. ))
&7&o(( &f&oRight-Click &7&oto edit warp. ))	&7&o(( &f&oChuột Phải &7&ođể chỉnh sửa điểm dịch chuyển. ))
&7&o(( &f&oRight-Click &7&oto teleport to island warp. ))	&7&o(( &f&oChuột Phải &7&ođể dịch chuyển đến điểm dịch chuyển đảo. ))
&7&o{0} is used for the warp''s name.	&7&o{0} được dùng cho tên điểm dịch chuyển.
&7&o{1} is used for the warp''s location.	&7&o{1} được dùng cho vị trí điểm dịch chuyển.
&7&o{2} is used for the warp''s public status.	&7&o{2} được dùng cho trạng thái công khai của điểm dịch chuyển.
&7&oYou can use the following placeholders:	&7&oBạn có thể dùng các placeholder sau:
&7Located at {1}.	&7Nằm tại {1}.
&8>> &7This island has {2} warps.	&8>> &7Đảo này có {2} điểm dịch chuyển.
&lIsland Visitors ({0})	&lKhách Thăm Đảo ({0})
&lIsland Unique Visitors ({0})	&lKhách Thăm Đảo Duy Nhất ({0})
&eUnique Visitors	&eKhách Thăm Duy Nhất
&7Click to open all-time visitors menu.	&7Nhấp để mở menu khách thăm mọi thời điểm.
&lTop Islands	&lBảng Xếp Hạng Đảo
&6&l* &e&lPlace &7#{1}	&6&l* &e&lHạng &7#{1}
&6&l* &e&lBank &7${11}	&6&l* &e&lNgân Hàng &7${11}
&6&l* &e&lLevel: &7{2}	&6&l* &e&lCấp Độ: &7{2}
&6&l* &e&lLevel: &f${3}	&6&l* &e&lCấp Độ: &f${3}
&6&l* &e&lMembers:	&6&l* &e&lThành Viên:
&6&l* &e&lPlayers &7{10}	&6&l* &e&lNgười Chơi &7{10}
&6&l* &e&lRating {8} &7({9})	&6&l* &e&lĐánh Giá {8} &7({9})
&6&l* &e&lWorth &7${3}	&6&l* &e&lGiá Trị &7${3}
&6&l* &e&lWorth: &f${2}	&6&l* &e&lGiá Trị: &f${2}
&7Switch top islands sorting type.	&7Đổi kiểu sắp xếp bảng xếp hạng đảo.
&e&l[!] Island: &6&n{0}&7 (#{1})	&e&l[!] Đảo: &6&n{0}&7 (#{1})
&lRate Island	&lĐánh Giá Đảo
&5Fabulous (5/5)	&5Tuyệt Vời (5/5)
&2Beautiful (4/5)	&2Đẹp (4/5)
&aGood (3/5)	&aTốt (3/5)
&eNice (2/5)	&eKhá (2/5)
&6Ugly (1/5)	&6Xấu (1/5)
&4Horrible (0/5)	&4Rất Tệ (0/5)
&lIsland Ratings ({0}/5)	&lĐánh Giá Đảo ({0}/5)
&cPrevious Page	&cTrang Trước
&cNext Page	&cTrang Sau
{0}Previous Page	{0}Trang Trước
{0}Next Page	{0}Trang Sau
&aCurrent Page	&aTrang Hiện Tại
&7Page {0}	&7Trang {0}
&7Page 1	&7Trang 1
&ePage #{0}	&eTrang #{0}
&lIsland Block Counts	&lSố Khối Trên Đảo
&eSize: &7{1}	&eKích Thước: &7{1}
&lIsland Chest	&lRương Đảo
